tweet_id,favorite_count,retweet_count,source,retweeted_status,url
813066809284972545,8273,2037,Twitter for iPhone,Original tweet,https://t.co/syuTXARdtN
813051746834595840,21769,7689,Twitter for iPhone,Original tweet,https://t.co/AIMF8ouzvl
812781120811126785,7869,1998,Twitter for iPhone,Original tweet,https://t.co/lXFM1l22bG
812709060537683968,6880,1492,Twitter for iPhone,Original tweet,https://t.co/AbBDuGZUpp
812503143955202048,6303,1279,Twitter for iPhone,Original tweet,https://t.co/MCFrxiC7NZ
812466873996607488,8278,2018,Twitter for iPhone,Original tweet,https://t.co/BAJrfPvtux
812372279581671427,14229,3835,Twitter for iPhone,Original tweet,https://t.co/gCnAeL2mvT
811985624773361665,7549,1468,Twitter for iPhone,Original tweet,https://t.co/sIB5C6FDop
811744202451197953,7842,1671,Twitter for iPhone,Original tweet,https://t.co/TZkiQZqwA6
811647686436880384,5821,778,Twitter for iPhone,Original tweet,0
811627233043480576,13274,3232,Twitter for iPhone,Original tweet,https://t.co/IU8S0n4oxn
811386762094317568,21735,6674,Twitter for iPhone,Original tweet,https://t.co/aAUXzoxaBy
810984652412424192,5558,1507,Twitter for iPhone,Original tweet,https://t.co/1MI8h6XjMY
810896069567610880,9390,1850,Twitter for iPhone,Original tweet,https://t.co/PqJcGVZBx9
810657578271330305,11420,2779,Twitter for iPhone,Original tweet,https://t.co/MXd0AGDsRJ
810284430598270976,36712,11871,Twitter for iPhone,Original tweet,https://t.co/9p6ECXJMMu
810254108431155201,15270,3516,Twitter for iPhone,Original tweet,https://t.co/ElJPHbfSMy
809920764300447744,16117,4107,Twitter for iPhone,Original tweet,https://t.co/HIraYS1Bzo
809808892968534016,0,5124,Twitter for iPhone,This is a retweet,This is a retweet
809448704142938112,7223,1530,Twitter for iPhone,Original tweet,https://t.co/EMdnCugNbo
809220051211603969,20713,5883,Twitter for iPhone,Original tweet,https://t.co/2JjYys5zMP
809084759137812480,13758,3692,Twitter for iPhone,Original tweet,https://t.co/ySn6zB6mwQ
808838249661788160,10517,3188,Twitter for iPhone,Original tweet,https://t.co/Zrrcw29o13
808733504066486276,8245,2271,Twitter for iPhone,Original tweet,https://t.co/xQfrbNK3HD
808501579447930884,11751,2724,Twitter for iPhone,Original tweet,https://t.co/SQhyqrr8px
808344865868283904,44305,21819,Vine - Make a Scene,Original tweet,https://t.co/hfi264QwYM
808134635716833280,0,6212,Twitter for iPhone,This is a retweet,This is a retweet
808106460588765185,9135,2313,Twitter for iPhone,Original tweet,https://t.co/7nJXFt8Ggy
808001312164028416,13069,3695,Twitter for iPhone,Original tweet,https://t.co/O9iGgvfuzl
807621403335917568,15173,3817,Twitter for iPhone,Original tweet,https://t.co/gJQnfSziJE
807106840509214720,123369,58164,Twitter for iPhone,Original tweet,https://t.co/DkBYaCAg2d
807059379405148160,0,7683,Twitter for iPhone,This is a retweet,This is a retweet
807010152071229440,13591,4035,Twitter for iPhone,Original tweet,https://t.co/IARUfU6khr
806629075125202948,77934,36345,Twitter for iPhone,Original tweet,https://t.co/f1h2Fsalv9
806620845233815552,0,5792,Twitter for iPhone,This is a retweet,This is a retweet
806576416489959424,5074,2036,Twitter for iPhone,Original tweet,https://t.co/QrFkqgHR1G
806542213899489280,10636,2470,Twitter for iPhone,Original tweet,https://t.co/BCB87qUU0h
